model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.8983050847457628,0.9387755102040816,0.8520066889632107,"[[86, 12], [0, 20]]","[0, 1]",0.1
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9067796610169492,0.9239795918367346,0.8583433373349341,"[[88, 10], [1, 19]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9067796610169492,0.9239795918367346,0.8583433373349341,"[[88, 10], [1, 19]]","[0, 1]",0.25
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.8983050847457628,0.9188775510204081,0.8477419354838709,"[[87, 11], [1, 19]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.8983050847457628,0.9188775510204081,0.8477419354838709,"[[87, 11], [1, 19]]","[0, 1]",0.25
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9152542372881356,0.9091836734693878,0.8649885583524027,"[[90, 8], [2, 18]]","[0, 1]",0.25
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.940677966101695,0.9045918367346939,0.8966854283927455,"[[94, 4], [3, 17]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9322033898305084,0.8994897959183674,0.8841433480608738,"[[93, 5], [3, 17]]","[0, 1]",
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.8898305084745762,0.8938775510204082,0.8325875804867402,"[[87, 11], [2, 18]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.8898305084745762,0.8938775510204082,0.8325875804867402,"[[87, 11], [2, 18]]","[0, 1]",0.5
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.940677966101695,0.8846938775510205,0.8924899127944812,"[[95, 3], [4, 16]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.923728813559322,0.8744897959183674,0.8671669793621013,"[[93, 5], [4, 16]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9067796610169492,0.8642857142857143,0.843595613929389,"[[91, 7], [4, 16]]","[0, 1]",0.2
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_acacia,random,,273,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9067796610169492,0.8244897959183674,0.8310555772484707,"[[93, 5], [6, 14]]","[0, 1]",
