model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.25
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.25
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.3
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.35
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.3
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.35
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.1
