model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.609375,0.5840480274442539,0.5247995247995249,"[[33, 20], [5, 6]]","[0, 1]",0.45
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.65625,0.5763293310463121,0.5416666666666666,"[[37, 16], [6, 5]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.828125,0.5360205831903945,0.5290969899665552,"[[52, 1], [10, 1]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.203125,0.5188679245283019,0.18704856787048568,"[[2, 51], [0, 11]]","[0, 1]",0.15
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.296875,0.5034305317324186,0.29670329670329676,"[[10, 43], [2, 9]]","[0, 1]",0.15
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.828125,0.5,0.452991452991453,"[[53, 0], [11, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.828125,0.5,0.452991452991453,"[[53, 0], [11, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.828125,0.5,0.452991452991453,"[[53, 0], [11, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.46875,0.49914236706689535,0.4231177094379639,"[[24, 29], [5, 6]]","[0, 1]",0.1
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.671875,0.47770154373927964,0.4780582524271845,"[[41, 12], [9, 2]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.234375,0.46569468267581476,0.2326890139466602,"[[6, 47], [2, 9]]","[0, 1]",0.2
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.375,0.44253859348198965,0.3522267206477733,"[[18, 35], [5, 6]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.4375,0.40823327615780447,0.37662337662337664,"[[24, 29], [7, 4]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 239, 1: 52}","{0: 53, 1: 11}",0.171875,0.3198970840480274,0.17167277167277167,"[[5, 48], [5, 6]]","[0, 1]",0.2
