model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",0.45
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6388888888888888,0.48545454545454547,0.45263157894736844,"[[22, 3], [10, 1]]","[0, 1]",
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.5555555555555556,0.4763636363636364,0.4763636363636364,"[[17, 8], [8, 3]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6111111111111112,0.46545454545454545,0.4375,"[[21, 4], [10, 1]]","[0, 1]",0.35
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6111111111111112,0.46545454545454545,0.4375,"[[21, 4], [10, 1]]","[0, 1]",0.3
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6111111111111112,0.46545454545454545,0.4375,"[[21, 4], [10, 1]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.6111111111111112,0.46545454545454545,0.4375,"[[21, 4], [10, 1]]","[0, 1]",0.2
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.5555555555555556,0.4509090909090909,0.4461538461538461,"[[18, 7], [9, 2]]","[0, 1]",0.25
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.4722222222222222,0.4163636363636364,0.41787234042553195,"[[14, 11], [8, 3]]","[0, 1]",0.2
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,A1,319,36,"{0: 230, 1: 89}","{0: 25, 1: 11}",0.4722222222222222,0.4163636363636364,0.41787234042553195,"[[14, 11], [8, 3]]","[0, 1]",0.45
