model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.6363636363636364,0.6,0.5416666666666666,"[[6, 0], [4, 1]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",0.55
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",0.45
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",0.4
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",0.4
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",0.55
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",0.3
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,MITTAL,344,11,"{0: 249, 1: 95}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",0.2
