model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.72,0.5434782608695652,0.49600000000000005,"[[52, 17], [4, 2]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.55
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.55
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.75
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.9066666666666666,0.4927536231884058,0.4755244755244755,"[[68, 1], [6, 0]]","[0, 1]",0.35
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.9066666666666666,0.4927536231884058,0.4755244755244755,"[[68, 1], [6, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.8933333333333333,0.4855072463768116,0.471830985915493,"[[67, 2], [6, 0]]","[0, 1]",0.35
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.88,0.4782608695652174,0.4680851063829787,"[[66, 3], [6, 0]]","[0, 1]",0.35
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,leave_area_out,SIT,280,75,"{0: 186, 1: 94}","{0: 69, 1: 6}",0.72,0.391304347826087,0.4186046511627907,"[[54, 15], [6, 0]]","[0, 1]",0.35
