model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.8045454545454545,0.81078691423519,"[[70, 7], [9, 21]]","[0, 1]",0.2
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8691588785046729,0.7971861471861472,0.8221747388414055,"[[74, 3], [11, 19]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.794392523364486,0.7859307359307359,0.7628928283642225,"[[62, 15], [7, 23]]","[0, 1]",0.45
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8598130841121495,0.7805194805194805,0.8069289065319379,"[[74, 3], [12, 18]]","[0, 1]",0.45
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8411214953271028,0.7777056277056277,0.79199542595769,"[[71, 6], [11, 19]]","[0, 1]",0.3
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.7740259740259741,0.7967711301044634,"[[73, 4], [12, 18]]","[0, 1]",0.5
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.7638528138528138,0.791219512195122,"[[74, 3], [13, 17]]","[0, 1]",
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8037383177570093,0.7619047619047619,0.7592414014786242,"[[66, 11], [10, 20]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8598130841121495,0.7601731601731602,0.795515352274175,"[[76, 1], [14, 16]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8411214953271028,0.7573593073593073,0.7811860940695297,"[[73, 4], [13, 17]]","[0, 1]",
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.822429906542056,0.7545454545454545,0.7675242995997713,"[[70, 7], [12, 18]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.7435064935064934,0.7784679089026916,"[[76, 1], [15, 15]]","[0, 1]",0.6
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.7435064935064934,0.7784679089026916,"[[76, 1], [15, 15]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_broad,random,,248,107,"{0: 178, 1: 70}","{0: 77, 1: 30}",0.8504672897196262,0.7435064935064934,0.7784679089026916,"[[76, 1], [15, 15]]","[0, 1]",0.7
