model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.5833333333333334,0.5472727272727272,0.5404255319148936,"[[16, 9], [6, 5]]","[0, 1]",0.1
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6944444444444444,0.5,0.4098360655737705,"[[25, 0], [11, 0]]","[0, 1]",0.15
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6111111111111112,0.49090909090909096,0.4814814814814815,"[[20, 5], [9, 2]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6111111111111112,0.49090909090909096,0.4814814814814815,"[[20, 5], [9, 2]]","[0, 1]",0.5
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.6666666666666666,0.48,0.39999999999999997,"[[24, 1], [11, 0]]","[0, 1]",0.15
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.5555555555555556,0.4763636363636364,0.4763636363636364,"[[17, 8], [8, 3]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.5555555555555556,0.4509090909090909,0.4461538461538461,"[[18, 7], [9, 2]]","[0, 1]",0.15
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.5833333333333334,0.4454545454545455,0.4224598930481283,"[[20, 5], [10, 1]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 290, 1: 29}","{0: 25, 1: 11}",0.4722222222222222,0.3909090909090909,0.3930789707187222,"[[15, 10], [9, 2]]","[0, 1]",0.15
