model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9066666666666666,0.5785714285714286,0.5862884160756501,"[[67, 3], [4, 1]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9066666666666666,0.5785714285714286,0.5862884160756501,"[[67, 3], [4, 1]]","[0, 1]",0.15
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",0.25
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",0.3
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",0.1
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.92,0.4928571428571429,0.47916666666666663,"[[69, 1], [5, 0]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.88,0.4714285714285714,0.46808510638297873,"[[66, 4], [5, 0]]","[0, 1]",0.25
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.30666666666666664,0.35,0.2591185410334346,"[[21, 49], [3, 2]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_buffer20m.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.29333333333333333,0.34285714285714286,0.2501414827391058,"[[20, 50], [3, 2]]","[0, 1]",0.45
