model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.6176470588235294,0.5357142857142857,0.4440251572327044,"[[1, 13], [0, 20]]","[0, 1]",0.3
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5882352941176471,0.5107142857142857,0.4278846153846154,"[[1, 13], [1, 19]]","[0, 1]",0.25
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5882352941176471,0.5,0.37037037037037035,"[[0, 14], [0, 20]]","[0, 1]",0.25
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5882352941176471,0.5,0.37037037037037035,"[[0, 14], [0, 20]]","[0, 1]",0.25
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5882352941176471,0.5,0.37037037037037035,"[[0, 14], [0, 20]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5882352941176471,0.5,0.37037037037037035,"[[0, 14], [0, 20]]","[0, 1]",0.3
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.47058823529411764,0.4857142857142857,0.47058823529411764,"[[8, 6], [12, 8]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5,0.47857142857142854,0.47786811201445345,"[[5, 9], [8, 12]]","[0, 1]",0.2
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.4117647058823529,0.4571428571428572,0.3928571428571429,"[[10, 4], [16, 4]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.38235294117647056,0.43214285714285716,0.35501355013550134,"[[10, 4], [17, 3]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.35294117647058826,0.40714285714285714,0.315018315018315,"[[10, 4], [18, 2]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.35294117647058826,0.39642857142857146,0.33214285714285713,"[[9, 5], [17, 3]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.4117647058823529,0.3821428571428572,0.3772893772893773,"[[3, 11], [9, 11]]","[0, 1]",0.45
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.35294117647058826,0.34285714285714286,0.34385964912280703,"[[4, 10], [12, 8]]","[0, 1]",
