model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.6,0.5616883116883117,0.5296822742474916,"[[37, 5], [25, 8]]","[0, 1]",0.1
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.5733333333333334,0.5183982683982684,0.41520467836257313,"[[41, 1], [31, 2]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.5733333333333334,0.5183982683982684,0.41520467836257313,"[[41, 1], [31, 2]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.5733333333333334,0.5183982683982684,0.41520467836257313,"[[41, 1], [31, 2]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.56,0.5,0.358974358974359,"[[42, 0], [33, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.56,0.5,0.358974358974359,"[[42, 0], [33, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.44,0.5,0.3055555555555556,"[[0, 42], [0, 33]]","[0, 1]",0.2
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.44,0.5,0.3055555555555556,"[[0, 42], [0, 33]]","[0, 1]",0.2
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.4266666666666667,0.48484848484848486,0.2990654205607477,"[[0, 42], [1, 32]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.4266666666666667,0.48484848484848486,0.2990654205607477,"[[0, 42], [1, 32]]","[0, 1]",0.25
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.44,0.4448051948051948,0.439900426742532,"[[17, 25], [17, 16]]","[0, 1]",0.3
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.4,0.39285714285714285,0.39309476712821434,"[[19, 23], [22, 11]]","[0, 1]",0.3
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.41333333333333333,0.3885281385281385,0.3731003039513678,"[[25, 17], [27, 6]]","[0, 1]",
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.41333333333333333,0.3755411255411255,0.32598039215686275,"[[29, 13], [31, 2]]","[0, 1]",
