model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.20930232558139536,0.5853658536585366,0.19846491228070176,"[[7, 34], [0, 2]]","[0, 1]",0.1
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.6511627906976745,0.5792682926829269,0.4501278772378517,"[[27, 14], [1, 1]]","[0, 1]",0.1
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.5116279069767442,0.5060975609756098,0.37681159420289856,"[[21, 20], [1, 1]]","[0, 1]",0.1
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",0.4
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",0.1
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",0.55
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.8372093023255814,0.43902439024390244,0.4556962025316456,"[[36, 5], [2, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.7209302325581395,0.3780487804878049,0.4189189189189189,"[[31, 10], [2, 0]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A4,312,43,"{0: 302, 1: 10}","{0: 41, 1: 2}",0.6046511627906976,0.3170731707317073,0.3768115942028986,"[[26, 15], [2, 0]]","[0, 1]",
