model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9626168224299065,0.5,0.49047619047619045,"[[103, 0], [4, 0]]","[0, 1]",0.45
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",0.35
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",0.4
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9532710280373832,0.49514563106796117,0.4880382775119617,"[[102, 1], [4, 0]]","[0, 1]",0.5
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.9439252336448598,0.49029126213592233,0.4855769230769231,"[[101, 2], [4, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8785046728971962,0.4563106796116505,0.4676616915422886,"[[94, 9], [4, 0]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8785046728971962,0.4563106796116505,0.4676616915422886,"[[94, 9], [4, 0]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8598130841121495,0.44660194174757284,0.4623115577889447,"[[92, 11], [4, 0]]","[0, 1]",0.1
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,random,,248,107,"{0: 240, 1: 8}","{0: 103, 1: 4}",0.8598130841121495,0.44660194174757284,0.4623115577889447,"[[92, 11], [4, 0]]","[0, 1]",0.4
