model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.6266666666666667,0.6306818181818181,0.537037037037037,"[[40, 24], [4, 7]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.4266666666666667,0.6264204545454546,0.41160372194854955,"[[22, 42], [1, 10]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.26666666666666666,0.5703125,0.26614481409001955,"[[9, 55], [0, 11]]","[0, 1]",0.2
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.32,0.5639204545454546,0.3180602602959529,"[[14, 50], [1, 10]]","[0, 1]",0.2
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.28,0.5404829545454546,0.2798719772403983,"[[11, 53], [1, 10]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.21333333333333335,0.5390625,0.20826623725174453,"[[5, 59], [0, 11]]","[0, 1]",0.2
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.30666666666666664,0.5184659090909092,0.30357142857142855,"[[14, 50], [2, 9]]","[0, 1]",0.15
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8,0.5063920454545454,0.5024325519681557,"[[59, 5], [10, 1]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8533333333333334,0.5,0.46043165467625896,"[[64, 0], [11, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8533333333333334,0.5,0.46043165467625896,"[[64, 0], [11, 0]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.14666666666666667,0.5,0.12790697674418605,"[[0, 64], [0, 11]]","[0, 1]",0.1
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.6533333333333333,0.49573863636363635,0.48358050847457623,"[[46, 18], [8, 3]]","[0, 1]",
