model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.6074766355140186,0.6994617224880382,0.5662162162162162,"[[49, 39], [3, 16]]","[0, 1]",0.15
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.514018691588785,0.6839114832535885,0.4981962481962482,"[[37, 51], [1, 18]]","[0, 1]",0.15
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7289719626168224,0.6701555023923444,0.62672921929508,"[[67, 21], [8, 11]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7289719626168224,0.6495215311004785,0.6162028447742733,"[[68, 20], [9, 10]]","[0, 1]",0.2
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7102803738317757,0.638157894736842,0.6009864068326718,"[[66, 22], [9, 10]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.45794392523364486,0.6291866028708134,0.4470776906628653,"[[32, 56], [2, 17]]","[0, 1]",0.15
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.4392523364485981,0.597188995215311,0.4280114041339986,"[[31, 57], [3, 16]]","[0, 1]",0.15
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.3644859813084112,0.5930023923444976,0.36398601398601393,"[[21, 67], [1, 18]]","[0, 1]",0.1
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7570093457943925,0.5840311004784688,0.5840311004784688,"[[75, 13], [13, 6]]","[0, 1]",0.2
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.8037383177570093,0.5711722488038278,0.5811742777260018,"[[82, 6], [15, 4]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.8130841121495327,0.5355861244019139,0.5307017543859649,"[[85, 3], [17, 2]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.822429906542056,0.5,0.45128205128205123,"[[88, 0], [19, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.822429906542056,0.5,0.45128205128205123,"[[88, 0], [19, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_showy_flower,random,,248,107,"{0: 204, 1: 44}","{0: 88, 1: 19}",0.7757009345794392,0.4922248803827751,0.4746317512274959,"[[82, 6], [18, 1]]","[0, 1]",
