model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.44,0.7,0.3818681318681319,"[[28, 42], [0, 5]]","[0, 1]",0.15
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.5866666666666667,0.5928571428571429,0.4439129394881608,"[[41, 29], [2, 3]]","[0, 1]",0.1
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",0.25
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",0.2
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.92,0.4928571428571429,0.47916666666666663,"[[69, 1], [5, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.8533333333333334,0.45714285714285713,0.460431654676259,"[[64, 6], [5, 0]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.84,0.45,0.45652173913043476,"[[63, 7], [5, 0]]","[0, 1]",0.25
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.84,0.45,0.45652173913043476,"[[63, 7], [5, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.7333333333333333,0.39285714285714285,0.4230769230769231,"[[55, 15], [5, 0]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.6266666666666667,0.3357142857142857,0.38524590163934425,"[[47, 23], [5, 0]]","[0, 1]",
