model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.606694560669456,0.6308153651903652,0.6066937956147587,"[[218, 211], [71, 217]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.599721059972106,0.6278409090909092,0.5995683926420481,"[[208, 221], [66, 222]]","[0, 1]",0.45
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.6052998605299861,0.6108197358197358,0.6019268911371247,"[[250, 179], [104, 184]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.5425383542538355,0.5903263403263403,0.5350488722993705,"[[149, 280], [48, 240]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.5732217573221757,0.5874368686868687,0.5724224754837,"[[221, 208], [98, 190]]","[0, 1]",0.4
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.5341701534170153,0.5781978438228439,0.5284455191317088,"[[152, 277], [57, 231]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.5760111576011158,0.5635198135198135,0.5627206779225782,"[[269, 160], [144, 144]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.5034867503486751,0.5628277972027972,0.4846725349269159,"[[112, 317], [39, 249]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.4281729428172943,0.5152972027972028,0.35258025300398177,"[[31, 398], [12, 276]]","[0, 1]",0.1
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.401673640167364,0.5,0.2865671641791045,"[[0, 429], [0, 288]]","[0, 1]",0.25
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.401673640167364,0.5,0.2865671641791045,"[[0, 429], [0, 288]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.401673640167364,0.5,0.2865671641791045,"[[0, 429], [0, 288]]","[0, 1]",0.3
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.401673640167364,0.4994293900543901,0.2884617608890267,"[[1, 428], [1, 287]]","[0, 1]",0.2
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_all_priority,leave_area_out,SV_S2,1745,717,"{0: 1112, 1: 633}","{0: 429, 1: 288}",0.5662482566248257,0.4811820124320125,0.3992888026831535,"[[392, 37], [274, 14]]","[0, 1]",
