model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.6179775280898876,0.6195175438596492,0.6068087318087317,"[[40, 24], [44, 70]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.6348314606741573,0.6155427631578947,0.6122004357298475,"[[35, 29], [36, 78]]","[0, 1]",0.35
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.6292134831460674,0.6077302631578947,0.6050826946349335,"[[34, 30], [36, 78]]","[0, 1]",0.35
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.5224719101123596,0.6066337719298246,0.5143636655432515,"[[58, 6], [79, 35]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.5224719101123596,0.6066337719298246,0.5143636655432515,"[[58, 6], [79, 35]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.5674157303370787,0.6040296052631579,0.5667456930614825,"[[47, 17], [60, 54]]","[0, 1]",0.4
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.48314606741573035,0.5759320175438596,0.468035343035343,"[[58, 6], [86, 28]]","[0, 1]",
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.6629213483146067,0.5757949561403508,0.5663472470358941,"[[17, 47], [13, 101]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.6629213483146067,0.5757949561403508,0.5663472470358941,"[[17, 47], [13, 101]]","[0, 1]",0.5
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.6292134831460674,0.5666118421052632,0.5658536585365854,"[[22, 42], [24, 90]]","[0, 1]",0.35
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.47752808988764045,0.5646929824561404,0.46522371183976735,"[[56, 8], [85, 29]]","[0, 1]",
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.47191011235955055,0.5568804824561404,0.46039731682146545,"[[55, 9], [85, 29]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.47191011235955055,0.5568804824561404,0.46039731682146545,"[[55, 9], [85, 29]]","[0, 1]",0.5
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_clustering,leave_area_out,SV_S4,2001,178,"{0: 1214, 1: 787}","{0: 64, 1: 114}",0.6179775280898876,0.5509868421052632,0.5480884109916367,"[[20, 44], [24, 90]]","[0, 1]",0.35
