model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.6432926829268293,0.6560041517757098,0.6142495275622211,"[[301, 178], [56, 121]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.6432926829268293,0.6560041517757098,0.6142495275622211,"[[301, 178], [56, 121]]","[0, 1]",0.5
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.635670731707317,0.5474859346803015,0.5464147777408109,"[[354, 125], [114, 63]]","[0, 1]",0.3
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.6570121951219512,0.5246983475460882,0.5237588206255022,"[[389, 90], [135, 42]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.7271341463414634,0.5246275786419448,0.4906279958529804,"[[462, 17], [162, 15]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.6112804878048781,0.52366040361865,0.522394196095898,"[[342, 137], [118, 59]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.6737804878048781,0.5219324628758124,0.5166838807408938,"[[408, 71], [143, 34]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.4192073170731707,0.5168076147340859,0.41881701302415786,"[[146, 333], [48, 129]]","[0, 1]",0.15
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.5625,0.5151917247561422,0.5053375266350855,"[[296, 183], [104, 73]]","[0, 1]",0.4
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.725609756097561,0.5146786502011016,0.46906474820143884,"[[466, 13], [167, 10]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.29115853658536583,0.5110517438637463,0.24691708533409043,"[[16, 463], [2, 175]]","[0, 1]",0.3
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.27439024390243905,0.5013505065874055,0.2208248492833473,"[[4, 475], [1, 176]]","[0, 1]",0.3
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.31097560975609756,0.4979064199190876,0.28873536749184414,"[[44, 435], [17, 160]]","[0, 1]",0.35
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,leave_area_out,SV_S1,1806,656,"{0: 1070, 1: 736}","{0: 479, 1: 177}",0.5426829268292683,0.45531533444204614,0.4558906472910653,"[[309, 170], [130, 47]]","[0, 1]",
