model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.6766917293233082,0.6149183572488867,0.6183516850183517,"[[71, 15], [28, 19]]","[0, 1]",0.4
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.6390977443609023,0.6147946561108362,0.6122448979591837,"[[60, 26], [22, 25]]","[0, 1]",0.55
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.5939849624060151,0.5943839683325087,0.5814685314685315,"[[51, 35], [19, 28]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.556390977443609,0.5942602671944582,0.5554863196057328,"[[40, 46], [13, 34]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.5789473684210527,0.5827560613557645,0.5681818181818181,"[[49, 37], [19, 28]]","[0, 1]",0.45
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.5263157894736842,0.5613557644730331,0.5253497989010367,"[[38, 48], [15, 32]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.5263157894736842,0.5613557644730331,0.5253497989010367,"[[38, 48], [15, 32]]","[0, 1]",0.5
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.518796992481203,0.555541810984661,0.5181159420289854,"[[37, 49], [15, 32]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.5639097744360902,0.551830776843147,0.5451650943396227,"[[51, 35], [23, 24]]","[0, 1]",0.55
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.49624060150375937,0.5477486392874815,0.4961266610121573,"[[32, 54], [13, 34]]","[0, 1]",
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.6541353383458647,0.5395843641761504,0.5050161812297734,"[[80, 6], [40, 7]]","[0, 1]",
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.5338345864661654,0.518926274121722,0.5137971698113208,"[[49, 37], [25, 22]]","[0, 1]",0.55
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.48872180451127817,0.5129886194952993,0.4863698318945934,"[[37, 49], [19, 28]]","[0, 1]",
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual,leave_area_out,SV_S1,267,133,"{0: 121, 1: 146}","{0: 86, 1: 47}",0.49624060150375937,0.49468085106382975,0.48458557464283647,"[[43, 43], [24, 23]]","[0, 1]",0.55
