model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.5730337078651685,0.6348930481283422,0.567574478966884,"[[61, 7], [69, 41]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.6685393258426966,0.6307486631016043,0.6335531595659305,"[[32, 36], [23, 87]]","[0, 1]",0.35
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.5393258426966292,0.5963903743315508,0.5345663265306122,"[[57, 11], [71, 39]]","[0, 1]",0.45
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.5224719101123596,0.5939839572192513,0.5094510910093052,"[[61, 7], [78, 32]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.5168539325842697,0.5866310160427808,0.5045954692556635,"[[60, 8], [78, 32]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.4943820224719101,0.5796791443850268,0.46749102512963703,"[[64, 4], [86, 24]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.5730337078651685,0.5787433155080214,0.567574478966884,"[[41, 27], [49, 61]]","[0, 1]",
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.6404494382022472,0.568716577540107,0.555,"[[18, 50], [14, 96]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.6404494382022472,0.568716577540107,0.555,"[[18, 50], [14, 96]]","[0, 1]",0.5
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.5168539325842697,0.5669786096256685,0.5138465447154471,"[[53, 15], [71, 39]]","[0, 1]",
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.47752808988764045,0.5660427807486631,0.445148315736551,"[[64, 4], [89, 21]]","[0, 1]",0.55
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.5224719101123596,0.5659090909090909,0.5212479827864444,"[[51, 17], [68, 42]]","[0, 1]",0.45
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.5786516853932584,0.5495989304812834,0.5498836778043764,"[[29, 39], [36, 74]]","[0, 1]",0.25
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,leave_area_out,SV_S4,2001,178,"{0: 1198, 1: 803}","{0: 68, 1: 110}",0.6179775280898876,0.5168449197860963,0.4518115942028985,"[[6, 62], [6, 104]]","[0, 1]",0.3
