model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.5359477124183006,0.5720588235294117,0.501902884130405,"[[21, 64], [7, 61]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.5882352941176471,0.5705882352941176,0.5668449197860963,"[[62, 23], [40, 28]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.5294117647058824,0.5544117647058824,0.5165028089887641,"[[28, 57], [15, 53]]","[0, 1]",
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.5228758169934641,0.5485294117647059,0.5086878106717108,"[[27, 58], [15, 53]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.49673202614379086,0.5323529411764706,0.459810170113256,"[[18, 67], [10, 58]]","[0, 1]",0.4
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.49019607843137253,0.5323529411764706,0.43193069306930687,"[[13, 72], [6, 62]]","[0, 1]",0.35
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.48366013071895425,0.5264705882352941,0.4219235735807547,"[[12, 73], [6, 62]]","[0, 1]",0.35
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.477124183006536,0.5220588235294118,0.40582524271844655,"[[10, 75], [5, 63]]","[0, 1]",0.2
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.48366013071895425,0.5205882352941176,0.4415800415800416,"[[16, 69], [10, 58]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.47058823529411764,0.5132352941176471,0.4072887273422928,"[[11, 74], [7, 61]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.47058823529411764,0.5102941176470588,0.41797773916310527,"[[13, 72], [9, 59]]","[0, 1]",0.15
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.45751633986928103,0.5058823529411764,0.3664754302818658,"[[6, 79], [4, 64]]","[0, 1]",
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.4444444444444444,0.5,0.30769230769230765,"[[0, 85], [0, 68]]","[0, 1]",0.3
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,leave_area_out,SV_S2,614,153,"{0: 441, 1: 173}","{0: 85, 1: 68}",0.4444444444444444,0.5,0.30769230769230765,"[[0, 85], [0, 68]]","[0, 1]",0.35
