model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7050067658998647,0.7251157679930932,0.7014196752909778,"[[301, 164], [54, 220]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7171853856562923,0.7205517620280983,0.7084383382697452,"[[329, 136], [73, 201]]","[0, 1]",0.45
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7415426251691475,0.7166705910054156,0.719305886166445,"[[378, 87], [104, 170]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.713125845737483,0.7158268581743976,0.7041096925285186,"[[328, 137], [75, 199]]","[0, 1]",0.35
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6955345060893099,0.7130915940663998,0.6913545872198246,"[[300, 165], [60, 214]]","[0, 1]",0.2
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7374830852503383,0.7111961384506711,0.714182615629984,"[[378, 87], [107, 167]]","[0, 1]",
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7050067658998647,0.7101247939722157,0.696880409422744,"[[321, 144], [74, 200]]","[0, 1]",0.35
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7388362652232747,0.7100227611647438,0.7139433249698655,"[[382, 83], [110, 164]]","[0, 1]",
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6887686062246279,0.7084647986814221,0.6851707786915611,"[[294, 171], [59, 215]]","[0, 1]",0.3
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7320703653585927,0.7083941605839417,0.7102029660614126,"[[372, 93], [105, 169]]","[0, 1]",
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.7253044654939107,0.7045169139000078,0.7049726147280647,"[[365, 100], [103, 171]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6792963464140731,0.6934424299505533,0.6742477081113052,"[[297, 168], [69, 205]]","[0, 1]",0.25
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6562922868741543,0.6931520288831332,0.6558328688356265,"[[256, 209], [45, 229]]","[0, 1]",0.4
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species_or_clustering,random,,1723,739,"{0: 1084, 1: 639}","{0: 465, 1: 274}",0.6806495263870095,0.6930186013656698,0.6750510515881888,"[[300, 165], [71, 203]]","[0, 1]",
