model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.672782874617737,0.6868613138686132,0.6725869087166051,"[[228, 152], [62, 212]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6743119266055045,0.6856319631194776,0.6737558754716186,"[[234, 146], [67, 207]]","[0, 1]",0.4
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6529051987767585,0.6717921628889743,0.6528849098999043,"[[211, 169], [58, 216]]","[0, 1]",0.35
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6483180428134556,0.661736457933154,0.6481074252561643,"[[220, 160], [70, 204]]","[0, 1]",0.4
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6590214067278287,0.6587303111794084,0.6549547524693915,"[[251, 129], [94, 180]]","[0, 1]",
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6467889908256881,0.6573665001920861,0.6461859494551356,"[[225, 155], [76, 198]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6590214067278287,0.6546580868228966,0.6528786353347757,"[[259, 121], [102, 172]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6345565749235474,0.6514214368036881,0.6345557205148289,"[[208, 172], [67, 207]]","[0, 1]",0.3
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.617737003058104,0.6512005378409528,0.6138038548752834,"[[169, 211], [39, 235]]","[0, 1]",0.25
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6330275229357798,0.6506146753745679,0.6330240909771061,"[[206, 174], [66, 208]]","[0, 1]",0.45
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6513761467889908,0.6490971955436036,0.6463456284153006,"[[252, 128], [100, 174]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6529051987767585,0.6448136765270842,0.6444247512065435,"[[264, 116], [111, 163]]","[0, 1]",
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6467889908256881,0.642604686899731,0.6407200154105557,"[[254, 126], [105, 169]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_clustering,random,,1525,654,"{0: 886, 1: 639}","{0: 380, 1: 274}",0.6467889908256881,0.642604686899731,0.6407200154105557,"[[254, 126], [105, 169]]","[0, 1]",0.5
