model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8225108225108225,0.8370903415987515,0.8087323545449039,"[[126, 32], [9, 64]]","[0, 1]",
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8225108225108225,0.8260360672793481,0.8056712559246568,"[[129, 29], [12, 61]]","[0, 1]",0.4
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7878787878787878,0.8228281602219525,0.7783065985075506,"[[115, 43], [6, 67]]","[0, 1]",0.4
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7792207792207793,0.8091295300849661,0.7683686911385934,"[[115, 43], [8, 65]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8095238095238095,0.8018033639674007,0.7883910726182546,"[[130, 28], [16, 57]]","[0, 1]",0.4
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8268398268398268,0.792353043176695,0.7966549295774648,"[[140, 18], [22, 51]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8138528138528138,0.7865441303970868,0.7854875283446712,"[[136, 22], [21, 52]]","[0, 1]",0.25
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7835497835497836,0.7828160221952488,0.7636683581600916,"[[124, 34], [16, 57]]","[0, 1]",0.3
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8138528138528138,0.7791746141841511,0.7822522305280926,"[[138, 20], [23, 50]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8008658008658008,0.7770504595110109,0.7729487179487179,"[[133, 25], [21, 52]]","[0, 1]",0.4
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.7922077922077922,0.7707213455869603,0.764685908319185,"[[131, 27], [21, 52]]","[0, 1]",0.4
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8095238095238095,0.7686405410091902,0.7745341614906833,"[[139, 19], [25, 48]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8138528138528138,0.7644355817582799,0.7749915052667345,"[[142, 16], [27, 46]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_visual_or_species,random,,536,231,"{0: 368, 1: 168}","{0: 158, 1: 73}",0.8051948051948052,0.7617912259406971,0.7684700536784195,"[[139, 19], [26, 47]]","[0, 1]",
