crown_uid,area,crown_area_m2,species_clean,label_acacia_visual,label_acacia_species,label_acacia_clustering,pred_acacia_visual_model,prob_acacia_visual_model,model_confidence,model_cluster_disagree,uncertain,lon,lat,source_file,source_index,orig_crown_id
SV_S2:crown_0142,SV_S2,16.60009559091494,,-1,-1,0,0,0.02887460767942044,0.9711253923205796,False,False,77.17341323330733,28.5293651810484,s2_master_format.geojson,141,crown_0142
SV_S2:crown_0194,SV_S2,14.510938308045844,,-1,-1,0,0,0.02887460767942044,0.9711253923205796,False,False,77.17343913619217,28.529333566381936,s2_master_format.geojson,193,crown_0194
SV_S1:crown_0378,SV_S1,14.582764424005727,,-1,-1,1,0,0.036828702286016604,0.9631712977139834,True,False,77.17677568060418,28.53342979070589,s1_master_format.geojson,377,crown_0378
SV_S3:crown_0316,SV_S3,21.079269338429068,,-1,-1,1,1,0.9551341952423631,0.9551341952423631,False,False,77.18601537233683,28.53123683393032,s3_master_format.geojson,315,crown_0316
SV_S1:crown_0013,SV_S1,38.748854000630686,Amaltas,-1,0,0,1,0.953905813077934,0.953905813077934,True,False,77.17591844461207,28.53202264024065,s1_master_format.geojson,12,crown_0013
SV_S1:crown_0002,SV_S1,16.381762650498874,Prosopis Juliflora,-1,1,1,1,0.953905813077934,0.953905813077934,False,False,77.17597511725991,28.532061166940764,s1_master_format.geojson,1,crown_0002
SV_S2:crown_0257,SV_S2,10.695706441797652,,-1,-1,0,0,0.04807964815337639,0.9519203518466236,False,False,77.1736480479276,28.5295802160014,s2_master_format.geojson,256,crown_0257
SV_S2:crown_0171,SV_S2,35.20252932110366,,-1,-1,1,0,0.04807964815337639,0.9519203518466236,True,False,77.17367976905999,28.529511031828186,s2_master_format.geojson,170,crown_0171
SV_S1:crown_0154,SV_S1,39.961917939562035,,-1,-1,0,0,0.050180696143301236,0.9498193038566988,False,False,77.17574496565096,28.53319919053541,s1_master_format.geojson,153,crown_0154
SV_S1:crown_0199,SV_S1,27.385528490003722,,-1,-1,0,0,0.05429909152894619,0.9457009084710538,False,False,77.17577665613844,28.53345522461332,s1_master_format.geojson,198,crown_0199
SV_S4:crown_0056,SV_S4,62.009902930292995,,-1,-1,1,1,0.9456824089693389,0.9456824089693389,False,False,77.1832650437251,28.532903367676884,s4_master_format.geojson,55,crown_0056
SV_S4:crown_0122,SV_S4,27.68428856032691,,-1,-1,0,1,0.9456824089693389,0.9456824089693389,True,False,77.18333639034586,28.53284882643541,s4_master_format.geojson,121,crown_0122
SV_S1:crown_0209,SV_S1,24.596041351408214,,-1,-1,0,0,0.054837424008756686,0.9451625759912433,False,False,77.1760585072079,28.53372826101745,s1_master_format.geojson,208,crown_0209
SV_S3:crown_0326,SV_S3,13.010906468906045,,-1,-1,0,1,0.9447637709534653,0.9447637709534653,True,False,77.18621765066678,28.53159598156771,s3_master_format.geojson,325,crown_0326
SV_S3:crown_0461,SV_S3,24.63537087852241,,-1,-1,1,1,0.9435507101813856,0.9435507101813856,False,False,77.18657024947119,28.53138325759993,s3_master_format.geojson,460,crown_0461
SV_S1:crown_0309,SV_S1,17.115680338421665,,-1,-1,0,0,0.058405248764651044,0.941594751235349,False,False,77.17641705160024,28.53356763945282,s1_master_format.geojson,308,crown_0309
SV_S1:crown_0379,SV_S1,18.868083789961354,,-1,-1,0,0,0.058405248764651044,0.941594751235349,False,False,77.1764128266658,28.533605984863108,s1_master_format.geojson,378,crown_0379
SV_S4:crown_0173,SV_S4,9.825114975636073,,-1,-1,0,1,0.9396836171148172,0.9396836171148172,True,False,77.18326557824628,28.532755631512057,s4_master_format.geojson,172,crown_0173
SV_S4:crown_0066,SV_S4,53.71809376673347,,-1,-1,1,1,0.9396836171148172,0.9396836171148172,False,False,77.1833348001265,28.53277845439569,s4_master_format.geojson,65,crown_0066
SV_S1:crown_0203,SV_S1,35.656600820154054,,-1,-1,0,0,0.06050443465526225,0.9394955653447378,False,False,77.17575733106011,28.533503460761928,s1_master_format.geojson,202,crown_0203
SV_S2:crown_0676,SV_S2,11.31260343695772,,-1,-1,1,1,0.9382032520589796,0.9382032520589796,False,False,77.17506676675035,28.528001210704563,s2_master_format.geojson,675,crown_0676
SV_S2:crown_0605,SV_S2,34.959481525379985,,-1,-1,1,1,0.9382032520589796,0.9382032520589796,False,False,77.17508976187273,28.52805932813429,s2_master_format.geojson,604,crown_0605
SV_S2:crown_0604,SV_S2,14.461458260290046,,-1,-1,1,1,0.9382032520589796,0.9382032520589796,False,False,77.1750470127113,28.528038017461576,s2_master_format.geojson,603,crown_0604
SV_S1:crown_0498,SV_S1,29.480693505258667,,-1,-1,0,0,0.0657439616251743,0.9342560383748257,False,False,77.17714604969375,28.533480385558093,s1_master_format.geojson,497,crown_0498
SV_S1:crown_0583,SV_S1,16.60713737245166,,-1,-1,0,0,0.0657439616251743,0.9342560383748257,False,False,77.1772897971246,28.533470522703983,s1_master_format.geojson,582,crown_0583
SV_S1:crown_0581,SV_S1,42.18226891536024,,-1,-1,0,0,0.0657439616251743,0.9342560383748257,False,False,77.17727520051628,28.53353150531405,s1_master_format.geojson,580,crown_0581
SV_S1:crown_0508,SV_S1,29.92824330626069,,-1,-1,0,0,0.0657439616251743,0.9342560383748257,False,False,77.17715181188561,28.53353236078275,s1_master_format.geojson,507,crown_0508
SV_S3:crown_0238,SV_S3,17.162767508602624,Prosopis Juliflora,-1,1,1,1,0.9340921825342496,0.9340921825342496,False,False,77.18598789587698,28.5311889202752,s3_master_format.geojson,237,crown_0238
SV_S4:crown_0169,SV_S4,12.196260054140943,,-1,-1,0,1,0.9330539451017157,0.9330539451017157,True,False,77.18346441944443,28.53271995316486,s4_master_format.geojson,168,crown_0169
SV_S1:crown_0119,SV_S1,10.170459294811707,,-1,-1,0,1,0.93104843892315,0.93104843892315,True,False,77.17590213159757,28.53271720270383,s1_master_format.geojson,118,crown_0119
SV_S1:crown_0138,SV_S1,16.01080425757445,,-1,-1,1,1,0.93104843892315,0.93104843892315,False,False,77.17581936849895,28.532690264711984,s1_master_format.geojson,137,crown_0138
SV_S1:crown_0375,SV_S1,16.74592180868744,,-1,-1,1,0,0.07112275397610734,0.9288772460238927,True,False,77.17680311071592,28.53350127697153,s1_master_format.geojson,374,crown_0375
SV_S3:crown_0387,SV_S3,21.543974195220407,,-1,-1,0,1,0.926940493609206,0.926940493609206,True,False,77.18631032249029,28.531343330442173,s3_master_format.geojson,386,crown_0387
SV_S3:crown_0330,SV_S3,19.92092872504322,,-1,-1,1,1,0.9266910401843782,0.9266910401843782,False,False,77.18617975006248,28.53172377845385,s3_master_format.geojson,329,crown_0330
SV_S1:crown_0307,SV_S1,29.10633548603437,,-1,-1,0,0,0.07407340140963,0.92592659859037,False,False,77.1766097065536,28.533681805776794,s1_master_format.geojson,306,crown_0307
SV_S1:crown_0506,SV_S1,11.898265515266335,,-1,-1,0,0,0.07450118606961748,0.9254988139303826,False,False,77.17725574779882,28.53361951146934,s1_master_format.geojson,505,crown_0506
SV_S1:crown_0510,SV_S1,11.530906714653794,,-1,-1,0,0,0.07450118606961748,0.9254988139303826,False,False,77.17716488223361,28.533622066142154,s1_master_format.geojson,509,crown_0510
SV_S1:crown_0502,SV_S1,30.28920282109284,,-1,-1,0,0,0.07450118606961748,0.9254988139303826,False,False,77.17715403661433,28.53357513117452,s1_master_format.geojson,501,crown_0502
SV_S1:crown_0511,SV_S1,10.957770997258189,,-1,-1,0,0,0.07450118606961748,0.9254988139303826,False,False,77.17721021846458,28.53356938941669,s1_master_format.geojson,510,crown_0511
