crown_uid,area,crown_area_m2,species_clean,label_acacia_visual,label_acacia_species,label_acacia_clustering,pred_acacia_visual_model,prob_acacia_visual_model,model_confidence,model_cluster_disagree,uncertain,lon,lat,source_file,source_index,orig_crown_id
A2:crown_0109,A2,,,-1,-1,-1,1,0.5000431235663166,0.5000431235663166,False,True,77.19563840771985,28.54424971596296,A2_master.geojson,108,crown_0109
SV_S1:crown_0617,SV_S1,16.009004457535752,,-1,-1,0,1,0.5000745391053204,0.5000745391053204,True,True,77.17747173865563,28.53289117368141,s1_master_format.geojson,616,crown_0617
SV_S1:crown_0631,SV_S1,24.898207466946687,,-1,-1,0,1,0.5000745391053204,0.5000745391053204,True,True,77.1774753136398,28.53289764045649,s1_master_format.geojson,630,crown_0631
SV_S1:crown_0626,SV_S1,12.135438914052122,,-1,-1,0,1,0.5000745391053204,0.5000745391053204,True,True,77.17742323547994,28.532836270515503,s1_master_format.geojson,625,crown_0626
SV_S1:crown_0616,SV_S1,39.20280308690213,,-1,-1,0,0,0.4998548488632184,0.5001451511367816,False,True,77.17759593313451,28.532848381600868,s1_master_format.geojson,615,crown_0616
SV_S1:crown_0613,SV_S1,21.90794284832216,,-1,-1,0,0,0.4998548488632184,0.5001451511367816,False,True,77.17763606053936,28.53289506005564,s1_master_format.geojson,612,crown_0613
SIT:crown_0028,SIT,,Mandphali / Marodphali,-1,0,-1,1,0.5002085336830286,0.5002085336830286,False,True,77.19128492753427,28.54635932929238,sit_master(1).geojson,27,crown_0028
SV_S2:crown_0399,SV_S2,19.42916274561305,,-1,-1,0,0,0.4995399953140439,0.5004600046859561,False,True,77.17444501623454,28.52792399102393,s2_master_format.geojson,398,crown_0399
SV_S2:crown_0230,SV_S2,54.87336540908764,,-1,-1,0,0,0.49941483651865365,0.5005851634813463,False,True,77.1740949510533,28.528566738246365,s2_master_format.geojson,229,crown_0230
SV_S1:crown_0022,SV_S1,19.77598196664366,,-1,-1,0,1,0.5006676783508216,0.5006676783508216,True,True,77.17637688804452,28.53212046178676,s1_master_format.geojson,21,crown_0022
SV_S1:crown_0060,SV_S1,24.223683114438572,,-1,-1,0,1,0.5006676783508216,0.5006676783508216,True,True,77.17640871824821,28.53216520550864,s1_master_format.geojson,59,crown_0060
A3:crown_0071,A3,,,-1,-1,-1,0,0.49924729121663697,0.500752708783363,False,True,77.1989793678633,28.540733521123723,A3_master.geojson,70,crown_0071
