experiment,label,feature_set,split,holdout,model,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix
visual_or_species,label_acacia_visual_or_species,embeddings_plus_area,random,,logistic_c0.5,536,231,"{""0"": 368, ""1"": 168}","{""0"": 158, ""1"": 73}",0.8268398268398268,0.8439396566672447,0.8138597904915392,"[[126, 32], [8, 65]]"
visual_or_species,label_acacia_visual_or_species,embeddings,random,,logistic_c0.5,536,231,"{""0"": 368, ""1"": 168}","{""0"": 158, ""1"": 73}",0.8225108225108225,0.8370903415987515,0.8087323545449039,"[[126, 32], [9, 64]]"
visual_cluster_agree,label_acacia_visual,embeddings,leave_area_out,SV_S4,logistic_c0.5,312,32,"{""0"": 173, ""1"": 139}","{""0"": 12, ""1"": 20}",0.84375,0.825,0.8303287380699893,"[[9, 3], [2, 18]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S4,logistic_c0.5,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.8333333333333334,0.8125,0.8193979933110369,"[[10, 6], [0, 20]]"
visual_all,label_acacia_visual,embeddings,random,,logistic_c0.1,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.775,0.7766963292547275,0.7748592870544091,"[[45, 17], [10, 48]]"
visual_all,label_acacia_visual,embeddings_plus_area,random,,rf_leaf3,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.7666666666666667,0.7675194660734149,0.7666666666666667,"[[46, 16], [12, 46]]"
visual_drop_smallest_half,label_acacia_visual,embeddings,leave_area_out,SV_S4,logistic_c0.1,171,29,"{""0"": 82, ""1"": 89}","{""0"": 15, ""1"": 14}",0.7586206896551724,0.7595238095238095,0.7586206896551724,"[[11, 4], [3, 11]]"
visual_cluster_agree,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S4,logistic_c0.5,312,32,"{""0"": 173, ""1"": 139}","{""0"": 12, ""1"": 20}",0.78125,0.7583333333333333,0.7624602332979852,"[[8, 4], [3, 17]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S4,rf_leaf3,267,33,"{""0"": 128, ""1"": 139}","{""0"": 16, ""1"": 17}",0.7575757575757576,0.7573529411764706,0.7573529411764706,"[[12, 4], [4, 13]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,random,,rf_leaf3,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.7555555555555555,0.7501237011380505,0.7494939271255061,"[[27, 16], [6, 41]]"
visual_or_species,label_acacia_visual_or_species,embeddings,leave_area_out,SV_S4,svc_linearish,708,59,"{""0"": 506, ""1"": 202}","{""0"": 20, ""1"": 39}",0.8135593220338984,0.7493589743589744,0.7686274509803922,"[[11, 9], [2, 37]]"
visual_or_species,label_acacia_visual_or_species,embeddings_plus_area,leave_area_out,SV_S4,svc_linearish,708,59,"{""0"": 506, ""1"": 202}","{""0"": 20, ""1"": 39}",0.8135593220338984,0.7371794871794872,0.7593622543566926,"[[10, 10], [1, 38]]"
visual_drop_smallest_half,label_acacia_visual,embeddings_plus_area,random,,rf_leaf3,140,60,"{""0"": 68, ""1"": 72}","{""0"": 29, ""1"": 31}",0.7333333333333333,0.7352614015572858,0.7330367074527253,"[[23, 6], [10, 21]]"
visual_drop_smallest_half,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S4,logistic_c0.1,171,29,"{""0"": 82, ""1"": 89}","{""0"": 15, ""1"": 14}",0.7241379310344828,0.7261904761904762,0.7238095238095238,"[[10, 5], [3, 11]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S4,svc_rbf_c0.5,267,33,"{""0"": 128, ""1"": 139}","{""0"": 16, ""1"": 17}",0.7272727272727273,0.7261029411764706,0.7262672811059907,"[[11, 5], [4, 13]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S4,svc_linearish,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.75,0.71875,0.712511091393079,"[[7, 9], [0, 20]]"
visual_drop_smallest_half,label_acacia_visual,embeddings,random,,rf_leaf3,140,60,"{""0"": 68, ""1"": 72}","{""0"": 29, ""1"": 31}",0.7166666666666667,0.7180200222469411,0.7165879410947487,"[[22, 7], [10, 21]]"
visual_cluster_agree,label_acacia_visual,embeddings,random,,svc_linearish,240,104,"{""0"": 129, ""1"": 111}","{""0"": 56, ""1"": 48}",0.7115384615384616,0.7172619047619048,0.7114317425083241,"[[36, 20], [10, 38]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,random,,extra_leaf3,210,90,"{""0"": 101, ""1"": 109}","{""0"": 43, ""1"": 47}",0.7111111111111111,0.7055912914398812,0.7039473684210527,"[[25, 18], [8, 39]]"
visual_cluster_agree,label_acacia_visual,embeddings_plus_area,random,,svc_linearish,240,104,"{""0"": 129, ""1"": 111}","{""0"": 56, ""1"": 48}",0.7019230769230769,0.7038690476190477,0.7016748403812343,"[[38, 18], [13, 35]]"
visual_cluster_agree,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,logistic_c0.5,223,121,"{""0"": 115, ""1"": 108}","{""0"": 70, ""1"": 51}",0.6942148760330579,0.6984593837535014,0.6921119592875318,"[[47, 23], [14, 37]]"
visual_drop_smallest_half,label_acacia_visual,embeddings,leave_area_out,SV_S3,svc_linearish,157,43,"{""0"": 87, ""1"": 70}","{""0"": 10, ""1"": 33}",0.7441860465116279,0.6939393939393939,0.6735679779158039,"[[6, 4], [7, 26]]"
visual_cluster_agree,label_acacia_visual,embeddings,leave_area_out,SV_S2,logistic_c0.1,223,121,"{""0"": 115, ""1"": 108}","{""0"": 70, ""1"": 51}",0.6694214876033058,0.6903361344537815,0.6692181519956261,"[[39, 31], [9, 42]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S2,logistic_c0.5,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.6666666666666666,0.6676570458404074,0.6655426765015806,"[[50, 26], [20, 42]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,logistic_c0.5,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.6666666666666666,0.6676570458404074,0.6655426765015806,"[[50, 26], [20, 42]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S1,logistic_c0.1,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.7218045112781954,0.6642751113310242,0.671604938271605,"[[74, 12], [25, 22]]"
visual_drop_smallest_half,label_acacia_visual,embeddings,leave_area_out,SV_S2,svc_linearish,135,65,"{""0"": 69, ""1"": 66}","{""0"": 28, ""1"": 37}",0.6615384615384615,0.6592664092664093,0.6575670498084292,"[[18, 10], [12, 25]]"
visual_drop_smallest_half,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,svc_linearish,157,43,"{""0"": 87, ""1"": 70}","{""0"": 10, ""1"": 33}",0.5813953488372093,0.6575757575757576,0.5622171945701357,"[[8, 2], [16, 17]]"
visual_drop_smallest_half,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,logistic_c0.1,135,65,"{""0"": 69, ""1"": 66}","{""0"": 28, ""1"": 37}",0.676923076923077,0.6554054054054055,0.656084656084656,"[[14, 14], [7, 30]]"
visual_cluster_agree,label_acacia_visual,embeddings,leave_area_out,SV_S1,svc_rbf_c0.5,227,117,"{""0"": 106, ""1"": 121}","{""0"": 79, ""1"": 38}",0.6666666666666666,0.6439040639573618,0.6359211681161733,"[[56, 23], [16, 22]]"
visual_or_species,label_acacia_visual_or_species,embeddings_plus_area,leave_area_out,SV_S2,svc_linearish,614,153,"{""0"": 441, ""1"": 173}","{""0"": 85, ""1"": 68}",0.6209150326797386,0.6426470588235295,0.6149774383894482,"[[38, 47], [11, 57]]"
visual_drop_smallest_half,label_acacia_visual,embeddings,leave_area_out,SV_S1,logistic_c0.1,137,63,"{""0"": 53, ""1"": 84}","{""0"": 44, ""1"": 19}",0.746031746031746,0.638755980861244,0.6499999999999999,"[[40, 4], [12, 7]]"
