experiment,label,feature_set,split,holdout,model,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix
visual_all,label_acacia_visual,embeddings,random,,logistic_c0.1,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.775,0.7766963292547275,0.7748592870544091,"[[45, 17], [10, 48]]"
visual_all,label_acacia_visual,embeddings,random,,logistic_c0.5,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.7333333333333333,0.7352614015572858,0.7330367074527253,"[[42, 20], [12, 46]]"
visual_all,label_acacia_visual,embeddings,random,,svc_linearish,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.725,0.7260845383759733,0.7249809014514896,"[[43, 19], [14, 44]]"
visual_all,label_acacia_visual,embeddings,random,,svc_rbf_c0.5,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.7583333333333333,0.7600111234705228,0.7581821972065874,"[[44, 18], [11, 47]]"
visual_all,label_acacia_visual,embeddings,random,,rf_leaf3,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.75,0.7502780867630701,0.7499305362600722,"[[46, 16], [14, 44]]"
visual_all,label_acacia_visual,embeddings,random,,extra_leaf3,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.775,0.7761401557285873,0.7749843739148552,"[[46, 16], [11, 47]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S1,logistic_c0.1,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.7218045112781954,0.6642751113310242,0.671604938271605,"[[74, 12], [25, 22]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S1,logistic_c0.5,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.6541353383458647,0.5395843641761504,0.5050161812297734,"[[80, 6], [40, 7]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S1,svc_linearish,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.706766917293233,0.6044037605145968,0.5944170771756978,"[[82, 4], [35, 12]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S1,svc_rbf_c0.5,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.5639097744360902,0.5856011875309253,0.5597031963470318,"[[44, 42], [16, 31]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S1,rf_leaf3,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.5263157894736842,0.5661801088570015,0.525886946189102,"[[37, 49], [14, 33]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S1,extra_leaf3,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.48120300751879697,0.5312963879267689,0.4810856658184902,"[[31, 55], [14, 33]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S2,logistic_c0.1,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.6376811594202898,0.6487691001697793,0.6369949494949495,"[[41, 35], [15, 47]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S2,logistic_c0.5,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.6666666666666666,0.6676570458404074,0.6655426765015806,"[[50, 26], [20, 42]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S2,svc_linearish,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.6231884057971014,0.6148132427843802,0.615104054923836,"[[53, 23], [29, 33]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S2,svc_rbf_c0.5,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.4782608695652174,0.5203735144312394,0.3994197292069632,"[[8, 68], [4, 58]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S2,rf_leaf3,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.4855072463768116,0.523981324278438,0.4242904988542218,"[[11, 65], [6, 56]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S2,extra_leaf3,262,138,"{""0"": 131, ""1"": 131}","{""0"": 76, ""1"": 62}",0.5072463768115942,0.5452037351443124,0.45148468552723875,"[[13, 63], [5, 57]]"
