model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.39097744360902253,0.5001237011380505,0.3583298588361427,"[[11, 75], [6, 41]]","[0, 1]",
logistic_l2,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.6090225563909775,0.4950519544779812,0.4531941808981657,"[[76, 10], [42, 5]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.6090225563909775,0.4950519544779812,0.4531941808981657,"[[76, 10], [42, 5]]","[0, 1]",0.5
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.6240601503759399,0.48255813953488375,0.3842592592592593,"[[83, 3], [47, 0]]","[0, 1]",0.7
extra_trees,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.3458646616541353,0.47488866897575455,0.28081297781092673,"[[3, 83], [4, 43]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.3533834586466165,0.4662295893122217,0.31096385542168675,"[[7, 79], [7, 40]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.3533834586466165,0.4614052449282533,0.3162362505978001,"[[8, 78], [8, 39]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.3533834586466165,0.4614052449282533,0.3162362505978001,"[[8, 78], [8, 39]]","[0, 1]",0.5
hist_gradient,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.42105263157894735,0.4606630380999505,0.4210526315789474,"[[28, 58], [19, 28]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.3308270676691729,0.44396338446313705,0.28403798463678703,"[[5, 81], [8, 39]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.3684210526315789,0.4392627412172192,0.36028401282638567,"[[17, 69], [15, 32]]","[0, 1]",0.55
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.38345864661654133,0.4364176150420584,0.3817460317460317,"[[22, 64], [18, 29]]","[0, 1]",0.45
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.44360902255639095,0.42021276595744683,0.4196933962264151,"[[43, 43], [31, 16]]","[0, 1]",0.6
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S1,266,133,"{0: 121, 1: 145}","{0: 86, 1: 47}",0.3684210526315789,0.3620732310737259,0.35793103448275865,"[[33, 53], [31, 16]]","[0, 1]",0.6
