model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.6583333333333333,0.6554505005561735,0.6542758766074064,"[[46, 16], [25, 33]]","[0, 1]",0.55
svc_rbf,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.65,0.6518353726362625,0.649610678531702,"[[37, 25], [17, 41]]","[0, 1]",
logistic_l2,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.6416666666666667,0.6421023359288098,0.6416417806792138,"[[39, 23], [20, 38]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.6416666666666667,0.6421023359288098,0.6416417806792138,"[[39, 23], [20, 38]]","[0, 1]",0.5
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.6333333333333333,0.6345939933259177,0.6332314531814393,"[[37, 25], [19, 39]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.6333333333333333,0.632369299221357,0.6324143692564745,"[[41, 21], [23, 35]]","[0, 1]",0.55
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.6333333333333333,0.6307007786429366,0.6296296296296297,"[[44, 18], [26, 32]]","[0, 1]",0.75
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.625,0.6287541713014461,0.6218222564605365,"[[32, 30], [15, 43]]","[0, 1]",0.45
extra_trees,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.625,0.6259733036707453,0.6249739565247587,"[[37, 25], [20, 38]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.625,0.6254171301446052,0.6249739565247587,"[[38, 24], [21, 37]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.625,0.624860956618465,0.6247654784240151,"[[39, 23], [22, 36]]","[0, 1]",
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.6083333333333333,0.6131813125695217,0.602116402116402,"[[29, 33], [14, 44]]","[0, 1]",0.4
hist_gradient,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.5916666666666667,0.5920467185761957,0.5916383082158483,"[[36, 26], [23, 35]]","[0, 1]",
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,279,120,"{0: 145, 1: 134}","{0: 62, 1: 58}",0.575,0.5848164627363738,0.5402298850574713,"[[18, 44], [7, 51]]","[0, 1]",0.3
