model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.8333333333333334,0.8125,0.8193979933110369,"[[10, 6], [0, 20]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.8055555555555556,0.78125,0.7855319148936171,"[[9, 7], [0, 20]]","[0, 1]",0.45
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.75,0.74375,0.7450826121164438,"[[11, 5], [4, 16]]","[0, 1]",0.45
rf_deeper,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.7222222222222222,0.73125,0.7222222222222223,"[[13, 3], [7, 13]]","[0, 1]",
hist_gradient,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.6944444444444444,0.7,0.6942084942084943,"[[12, 4], [7, 13]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.6666666666666666,0.6875,0.6625000000000001,"[[14, 2], [10, 10]]","[0, 1]",0.65
rf_balanced,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.6666666666666666,0.675,0.6666666666666665,"[[12, 4], [8, 12]]","[0, 1]",
extra_trees,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.6666666666666666,0.675,0.6666666666666665,"[[12, 4], [8, 12]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.6666666666666666,0.66875,0.6656346749226006,"[[11, 5], [7, 13]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.6388888888888888,0.64375,0.6386100386100386,"[[11, 5], [8, 12]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.6388888888888888,0.61875,0.6148148148148148,"[[7, 9], [4, 16]]","[0, 1]",0.4
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.6111111111111112,0.59375,0.5909090909090908,"[[7, 9], [5, 15]]","[0, 1]",0.4
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.5833333333333334,0.575,0.5751376868607396,"[[8, 8], [7, 13]]","[0, 1]",0.45
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,leave_area_out,SV_S4,364,36,"{0: 191, 1: 173}","{0: 16, 1: 20}",0.5555555555555556,0.53125,0.5183946488294314,"[[5, 11], [5, 15]]","[0, 1]",0.4
