model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.775,0.7761401557285873,0.7749843739148552,"[[46, 16], [11, 47]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.775,0.7761401557285873,0.7749843739148552,"[[46, 16], [11, 47]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7666666666666667,0.7697441601779755,0.765625,"[[42, 20], [8, 50]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7666666666666667,0.7669632925472747,0.766601833842734,"[[47, 15], [13, 45]]","[0, 1]",
hist_gradient,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.75,0.7519466073414905,0.7497219132369299,"[[43, 19], [11, 47]]","[0, 1]",
extra_trees,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.75,0.7508342602892102,0.7500000000000001,"[[45, 17], [13, 45]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.75,0.7486095661846496,0.7488839285714286,"[[49, 13], [17, 41]]","[0, 1]",0.55
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7416666666666667,0.7444382647385984,0.7407846143125913,"[[41, 21], [10, 48]]","[0, 1]",0.45
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7333333333333333,0.739154616240267,0.7271952259164536,"[[35, 27], [5, 53]]","[0, 1]",0.4
logistic_l2,default,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7333333333333333,0.7352614015572858,0.7330367074527253,"[[42, 20], [12, 46]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7166666666666667,0.7219132369299222,0.7115384615384615,"[[35, 27], [7, 51]]","[0, 1]",0.15
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7166666666666667,0.721357063403782,0.712756969867643,"[[36, 26], [8, 50]]","[0, 1]",0.4
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.7083333333333334,0.7121802002224694,0.7058617550248617,"[[37, 25], [10, 48]]","[0, 1]",0.4
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original_visual_acacia.csv,label_acacia_visual,random,,280,120,"{0: 145, 1: 135}","{0: 62, 1: 58}",0.675,0.6827030033370411,0.6602540834845736,"[[28, 34], [5, 53]]","[0, 1]",0.4
