model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",0.15
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",0.1
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",0.15
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",0.3
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",0.2
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",0.15
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,A1,328,34,"{0: 266, 1: 62}","{0: 33, 1: 1}",0.9705882352941176,0.5,0.4925373134328358,"[[33, 0], [1, 0]]","[0, 1]",0.15
