model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.6666666666666666,0.6666666666666666,0.625,"[[3, 6], [0, 9]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.6111111111111112,0.6111111111111112,0.609907120743034,"[[6, 3], [4, 5]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.6111111111111112,0.6111111111111112,0.5418181818181818,"[[9, 0], [7, 2]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.4461538461538462,"[[9, 0], [8, 1]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.4461538461538462,"[[1, 8], [0, 9]]","[0, 1]",0.15
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.48571428571428577,"[[6, 3], [6, 3]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.1
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.1
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.15
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.1
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.4155844155844156,"[[2, 7], [3, 6]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_label_acacia_2025_mar.csv,label_acacia,leave_area_out,SV_S2,344,18,"{0: 290, 1: 54}","{0: 9, 1: 9}",0.3888888888888889,0.3888888888888889,0.28,"[[0, 9], [2, 7]]","[0, 1]",0.1
