method,split,holdout,seed,n_labeled_train,n_unlabeled_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,positive_f1,confusion_matrix,cm_labels,n_pseudo_labeled,pseudo_label_counts,ssl_iterations,ssl_termination,n_cluster_labeled_added,cluster_label_counts_added
supervised_logistic,random,,42,273,0,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9152542372881356,0.9091836734693878,0.8649885583524027,0.7826086956521738,"[[90, 8], [2, 18]]","[0, 1]",,,,,,
supervised_extra_trees,random,,42,273,0,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.923728813559322,0.8744897959183674,0.8671669793621013,0.7804878048780488,"[[93, 5], [4, 16]]","[0, 1]",,,,,,
ssl_self_training_logistic,random,,42,273,2821,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.923728813559322,0.9142857142857144,0.8764397905759163,0.7999999999999999,"[[91, 7], [2, 18]]","[0, 1]",2584.0,"{0: 1142, 1: 1442}",10.0,max_iter,,
ssl_self_training_extra_trees,random,,42,273,2821,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9322033898305084,0.9392857142857143,0.8919908466819222,0.8260869565217392,"[[91, 7], [1, 19]]","[0, 1]",2161.0,"{0: 788, 1: 1373}",10.0,max_iter,,
ssl_numpy_label_spreading_knn,random,,42,273,2821,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9152542372881356,0.8295918367346938,0.8431685273790537,0.7368421052631577,"[[94, 4], [6, 14]]","[0, 1]",2314.0,"{0: 1401, 1: 913}",,,,
hard_cluster_labels_extra_trees,random,,42,273,0,118,"{0: 228, 1: 45}","{0: 98, 1: 20}",0.9322033898305084,0.8397959183673469,0.8688888888888888,0.7777777777777777,"[[96, 2], [6, 14]]","[0, 1]",,,,,2071.0,"{0: 1223, 1: 848}"
supervised_logistic,leave_area_out,SV_S1,42,354,0,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.5135135135135135,0.5248538011695907,0.4178321678321678,0.6538461538461539,"[[2, 17], [1, 17]]","[0, 1]",,,,,,
supervised_extra_trees,leave_area_out,SV_S1,42,354,0,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.6486486486486487,0.6535087719298246,0.6391597899474869,0.6976744186046512,"[[9, 10], [3, 15]]","[0, 1]",,,,,,
ssl_self_training_logistic,leave_area_out,SV_S1,42,354,2202,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.4864864864864865,0.5,0.3272727272727273,0.6545454545454547,"[[0, 19], [0, 18]]","[0, 1]",2120.0,"{0: 780, 1: 1340}",10.0,max_iter,,
ssl_self_training_extra_trees,leave_area_out,SV_S1,42,354,2202,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.4864864864864865,0.5,0.3272727272727273,0.6545454545454547,"[[0, 19], [0, 18]]","[0, 1]",2045.0,"{0: 763, 1: 1282}",10.0,max_iter,,
ssl_numpy_label_spreading_knn,leave_area_out,SV_S1,42,354,2202,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.6216216216216216,0.6242690058479532,0.6191176470588236,0.65,"[[10, 9], [5, 13]]","[0, 1]",1870.0,"{0: 1153, 1: 717}",,,,
hard_cluster_labels_extra_trees,leave_area_out,SV_S1,42,354,0,37,"{0: 307, 1: 47}","{0: 19, 1: 18}",0.5405405405405406,0.5321637426900585,0.486530612244898,0.32,"[[16, 3], [14, 4]]","[0, 1]",,,,,1452.0,"{0: 763, 1: 689}"
supervised_logistic,leave_area_out,SV_S2,42,373,0,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.3888888888888889,0.3888888888888889,0.28,0.56,"[[0, 9], [2, 7]]","[0, 1]",,,,,,
supervised_extra_trees,leave_area_out,SV_S2,42,373,0,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.48571428571428577,0.5714285714285715,"[[3, 6], [3, 6]]","[0, 1]",,,,,,
