method,split,holdout,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,positive_f1_mean,positive_f1_std,n_runs,n_labeled_train_mean,n_unlabeled_train_mean,n_pseudo_labeled_mean
supervised_extra_trees,leave_area_out,SV_S1,0.6535,,0.6392,,0.6977,,1,354.0,0.0,
ssl_numpy_label_spreading_knn,leave_area_out,SV_S1,0.6243,,0.6191,,0.65,,1,354.0,2202.0,1870.0
hard_cluster_labels_extra_trees,leave_area_out,SV_S1,0.5322,,0.4865,,0.32,,1,354.0,0.0,
supervised_logistic,leave_area_out,SV_S1,0.5249,,0.4178,,0.6538,,1,354.0,0.0,
ssl_self_training_extra_trees,leave_area_out,SV_S1,0.5,,0.3273,,0.6545,,1,354.0,2202.0,2045.0
ssl_self_training_logistic,leave_area_out,SV_S1,0.5,,0.3273,,0.6545,,1,354.0,2202.0,2120.0
ssl_numpy_label_spreading_knn,leave_area_out,SV_S2,0.6111,,0.6,,0.6667,,1,373.0,2122.0,1736.0
hard_cluster_labels_extra_trees,leave_area_out,SV_S2,0.5556,,0.55,,0.6,,1,373.0,0.0,
supervised_extra_trees,leave_area_out,SV_S2,0.5,,0.4857,,0.5714,,1,373.0,0.0,
ssl_self_training_extra_trees,leave_area_out,SV_S2,0.5,,0.3333,,0.6667,,1,373.0,2122.0,1467.0
ssl_self_training_logistic,leave_area_out,SV_S2,0.4444,,0.3077,,0.6154,,1,373.0,2122.0,1939.0
supervised_logistic,leave_area_out,SV_S2,0.3889,,0.28,,0.56,,1,373.0,0.0,
ssl_numpy_label_spreading_knn,leave_area_out,SV_S3,0.6618,,0.6667,,0.8,,1,366.0,2218.0,1756.0
hard_cluster_labels_extra_trees,leave_area_out,SV_S3,0.6434,,0.56,,0.56,,1,366.0,0.0,
supervised_extra_trees,leave_area_out,SV_S3,0.5956,,0.5921,,0.8205,,1,366.0,0.0,
ssl_self_training_extra_trees,leave_area_out,SV_S3,0.5,,0.4048,,0.8095,,1,366.0,2218.0,1593.0
ssl_self_training_logistic,leave_area_out,SV_S3,0.5,,0.4048,,0.8095,,1,366.0,2218.0,2013.0
supervised_logistic,leave_area_out,SV_S3,0.5,,0.4048,,0.8095,,1,366.0,0.0,
ssl_self_training_logistic,leave_area_out,SV_S4,0.675,,0.6813,,0.8293,,1,363.0,2671.0,2456.0
supervised_extra_trees,leave_area_out,SV_S4,0.6625,,0.6818,,0.8636,,1,363.0,0.0,
hard_cluster_labels_extra_trees,leave_area_out,SV_S4,0.6375,,0.5351,,0.5517,,1,363.0,0.0,
supervised_logistic,leave_area_out,SV_S4,0.625,,0.6199,,0.7692,,1,363.0,0.0,
ssl_self_training_extra_trees,leave_area_out,SV_S4,0.5,,0.4167,,0.8333,,1,363.0,2671.0,2112.0
ssl_numpy_label_spreading_knn,leave_area_out,SV_S4,0.4875,,0.4697,,0.7727,,1,363.0,2671.0,2158.0
ssl_self_training_extra_trees,random,,0.9393,,0.892,,0.8261,,1,273.0,2821.0,2161.0
ssl_self_training_logistic,random,,0.9143,,0.8764,,0.8,,1,273.0,2821.0,2584.0
supervised_logistic,random,,0.9092,,0.865,,0.7826,,1,273.0,0.0,
supervised_extra_trees,random,,0.8745,,0.8672,,0.7805,,1,273.0,0.0,
hard_cluster_labels_extra_trees,random,,0.8398,,0.8689,,0.7778,,1,273.0,0.0,
ssl_numpy_label_spreading_knn,random,,0.8296,,0.8432,,0.7368,,1,273.0,2821.0,2314.0
